id,source_id,destination_id,timestamp,created_at,n_interpolation_points,step_distance_km,value
206,6,35,2025-04-03T03:48+00:00,2025-07-19T11:32:31+00:00,4,1603.3385369061978,0.0399253339528138
207,35,45,2025-04-03T12:38+00:00,2025-07-19T11:32:31+00:00,4,1065.4602759700067,0.5
208,45,33,2025-04-04T03:20+00:00,2025-07-19T11:32:31+00:00,5,200.0,0.037687890508605916
209,33,36,2025-04-04T05:14+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.021881270936130466
210,36,28,2025-04-04T09:18+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.01015080088599272
211,54,37,2025-04-10T20:27+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.01536770556527555
212,37,16,2025-04-11T01:58+00:00,2025-07-19T11:32:31+00:00,5,328.9480959556589,0.5
213,16,20,2025-04-11T07:40+00:00,2025-07-19T11:32:31+00:00,2,1749.8916974753722,0.5
214,20,60,2025-04-14T00:04+00:00,2025-07-19T11:32:31+00:00,5,200.0,0.5
215,60,14,2025-04-14T02:09+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.5
216,14,28,2025-04-14T04:35+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.5
217,54,16,2025-04-16T04:19+00:00,2025-07-19T11:32:31+00:00,5,345.64812994681307,0.01536770556527555
218,16,20,2025-04-16T09:09+00:00,2025-07-19T11:32:31+00:00,2,1749.8916974753722,0.023202938145644076
219,20,60,2025-04-17T01:00+00:00,2025-07-19T11:32:31+00:00,5,200.0,0.5
220,60,14,2025-04-17T02:20+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.5
221,14,28,2025-04-17T04:15+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.5
222,9,6,2025-04-17T04:48+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.07727220213665989
223,6,45,2025-04-17T09:34+00:00,2025-07-19T11:32:31+00:00,5,2220.9402361197444,0.05625293357316735
224,45,33,2025-04-18T03:11+00:00,2025-07-19T11:32:31+00:00,5,200.0,0.01630249937144093
225,33,36,2025-04-18T06:11+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.00816257115315989
226,36,28,2025-04-18T09:39+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.009756665624551356
227,54,16,2025-05-08T22:53+00:00,2025-07-19T11:32:31+00:00,5,345.64812994681307,0.032926394798136256
228,16,20,2025-05-09T11:21+00:00,2025-07-19T11:32:31+00:00,2,1749.8916974753722,0.023202938145644076
229,20,60,2025-05-11T23:12+00:00,2025-07-19T11:32:31+00:00,5,200.0,0.00800223481421624
230,60,14,2025-05-12T03:30+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.008326093098433782
231,14,28,2025-05-12T08:51+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.017636340339722667
232,54,37,2025-04-28T17:10+00:00,2025-07-19T11:32:31+00:00,2,200.0,0.01261716067933869
233,37,16,2025-04-29T02:37+00:00,2025-07-19T11:32:31+00:00,5,328.9480959556589,0.0731011734223782
